,NO_UF,NO_MUNICIPIO,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_SITUACAO_FUNCIONAMENTO,IN_ENERGIA_REDE_PUBLICA,IN_BANHEIRO,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_REFEITORIO,QT_SALAS_UTILIZADAS,IN_COMPUTADOR,TP_REDE_LOCAL,QT_MAT_BAS,IN_SALA_PROFESSOR,IN_ALIMENTACAO
0,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,23.0,1.0,3.0,544.0,1.0,1.0
1,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,35.0,1.0,0.0,2489.0,1.0,1.0
2,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,22.0,1.0,1.0,2198.0,1.0,1.0
3,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,19.0,1.0,2.0,1541.0,1.0,1.0
4,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,0.0,1147.0,1.0,1.0
5,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,3.0,865.0,1.0,1.0
6,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,1.0,328.0,1.0,1.0
7,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,2.0,603.0,1.0,1.0
8,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,20.0,1.0,0.0,296.0,1.0,1.0
9,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,19.0,1.0,0.0,1047.0,0.0,1.0
10,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,1.0,819.0,1.0,1.0
11,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,13.0,1.0,3.0,646.0,1.0,1.0
12,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,1.0,1728.0,1.0,1.0
13,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,2.0,472.0,1.0,1.0
14,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,3.0,278.0,1.0,1.0
15,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,18.0,1.0,3.0,736.0,1.0,1.0
16,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,646.0,1.0,1.0
17,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,2.0,741.0,1.0,1.0
18,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,12.0,1.0,1.0,931.0,1.0,1.0
19,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,0.0,539.0,1.0,1.0
20,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,0.0,942.0,1.0,1.0
21,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,17.0,1.0,3.0,1245.0,1.0,1.0
22,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,20.0,1.0,2.0,912.0,1.0,1.0
23,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,2.0,420.0,1.0,1.0
24,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,3.0,428.0,1.0,1.0
25,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,2.0,1519.0,1.0,1.0
26,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,20.0,1.0,3.0,930.0,1.0,1.0
27,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,18.0,1.0,1.0,2650.0,1.0,1.0
28,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,3.0,468.0,1.0,1.0
29,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,25.0,1.0,0.0,268.0,1.0,1.0
30,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,0.0,429.0,1.0,1.0
31,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,0.0,1.0,16.0,1.0,0.0,678.0,1.0,1.0
32,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,19.0,1.0,3.0,870.0,1.0,1.0
33,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,11.0,1.0,3.0,654.0,1.0,1.0
34,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,3.0,545.0,1.0,1.0
35,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,3.0,547.0,1.0,1.0
36,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,23.0,1.0,1.0,1499.0,1.0,1.0
37,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,3.0,1102.0,1.0,1.0
38,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,1.0,1353.0,1.0,1.0
39,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,2.0,188.0,1.0,1.0
40,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,0.0,441.0,1.0,1.0
41,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,13.0,1.0,2.0,749.0,1.0,1.0
42,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,0.0,617.0,1.0,1.0
43,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,3.0,468.0,1.0,1.0
44,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,23.0,1.0,0.0,1716.0,1.0,1.0
45,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,17.0,1.0,0.0,409.0,1.0,1.0
46,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,11.0,1.0,2.0,335.0,1.0,1.0
47,São Paulo,São Paulo,2,1,1,1.0,1.0,1.0,1.0,1.0,0.0,18.0,1.0,0.0,1712.0,1.0,1.0
48,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,1.0,457.0,1.0,1.0
49,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,3.0,816.0,1.0,1.0
50,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,9.0,1.0,2.0,486.0,1.0,1.0
51,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,1.0,750.0,1.0,1.0
52,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,26.0,1.0,0.0,1448.0,1.0,1.0
53,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,0.0,758.0,1.0,1.0
54,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,19.0,1.0,3.0,1180.0,1.0,1.0
55,São Paulo,São Paulo,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,3.0,503.0,1.0,1.0
56,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,12.0,1.0,3.0,321.0,1.0,1.0
57,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,13.0,1.0,1.0,452.0,1.0,1.0
58,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,0.0,593.0,1.0,1.0
59,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,20.0,1.0,3.0,1673.0,1.0,1.0
60,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,3.0,471.0,1.0,1.0
61,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,12.0,1.0,3.0,445.0,1.0,1.0
62,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,12.0,1.0,3.0,381.0,1.0,1.0
63,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,305.0,1.0,1.0
64,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,3.0,260.0,1.0,1.0
65,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,18.0,1.0,1.0,534.0,1.0,1.0
66,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,28.0,1.0,3.0,1230.0,1.0,1.0
67,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,3.0,719.0,1.0,1.0
68,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,3.0,1013.0,1.0,1.0
69,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,15.0,1.0,3.0,854.0,1.0,1.0
70,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0,3.0,370.0,1.0,1.0
71,São Paulo,São Paulo,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,318.0,1.0,1.0
72,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,18.0,1.0,3.0,1183.0,1.0,1.0
73,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,16.0,1.0,1.0,682.0,0.0,1.0
74,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,14.0,1.0,3.0,718.0,1.0,1.0
75,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,14.0,1.0,1.0,663.0,1.0,1.0
76,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,3.0,426.0,1.0,1.0
77,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,3.0,297.0,1.0,1.0
78,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,16.0,1.0,3.0,1218.0,1.0,1.0
79,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,17.0,1.0,3.0,454.0,1.0,1.0
80,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,626.0,1.0,1.0
81,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,15.0,1.0,3.0,1537.0,1.0,1.0
82,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,19.0,1.0,0.0,1230.0,1.0,1.0
83,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,3.0,552.0,1.0,1.0
84,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,13.0,1.0,3.0,371.0,1.0,1.0
85,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,18.0,1.0,1.0,744.0,1.0,1.0
86,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,1.0,297.0,1.0,1.0
87,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,0.0,1.0,15.0,1.0,1.0,327.0,1.0,1.0
88,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,21.0,1.0,1.0,480.0,1.0,1.0
89,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,595.0,1.0,1.0
90,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,0.0,273.0,1.0,1.0
91,São Paulo,São Paulo,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,23.0,1.0,2.0,457.0,1.0,1.0
92,São Paulo,São Paulo,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,48.0,1.0,2.0,1976.0,1.0,1.0
